CONCLUSION,CONCLUSION_FORM,DOMAIN,ITEM,PAIR_TYPE,PREMISE,VALID
Jordan wants to rehearse the choreography and wants to bake a small cake.,AND,want,W24,want_and,Jordan wants to rehearse the choreography or bake a small cake.,N
Kai hopes to visit a quiet park and to check the sound levels.,AND,want,W25,want_and,Kai hopes to visit a quiet park or check the sound levels.,N
Shiloh intends to marinate the chicken-style seitan and intends to design a travel itinerary.,AND,want,W26,want_and,Shiloh intends to marinate the chicken-style seitan or design a travel itinerary.,N
Ari would like to translate the survey instructions and would like to clean the whiteboard.,AND,want,W27,want_and,Ari would like to translate the survey instructions or clean the whiteboard.,N
Alex wants to explore the trail loop.,A,want,W28,want_single,Alex wants to explore the trail loop or repair a leaky faucet.,N
Jamie hopes to install a new router.,B,want,W29,want_single,Jamie hopes to translate a postcard or install a new router.,N
Frankie would like to reserve two seats by the aisle.,A,want,W30,want_single,Frankie would like to reserve two seats by the aisle or arrange a display table.,N
Taylor intends to draft a survey.,B,want,W31,want_single,Taylor intends to design a poster or draft a survey.,N
"Elliot does not mind blend a fruit smoothie, and does not mind grill vegetable skewers.",AND,want,W32,want_mind_and,Elliot wants to blend a fruit smoothie or grill vegetable skewers.,N
Ryan is fine with sketch the table setting and with brew a pot of chai.,AND,want,W33,want_mind_and,Ryan would be happy to sketch the table setting or brew a pot of chai.,N
Kelly would be okay with organize the toolkit and with frost a batch of cookies.,AND,want,W34,want_mind_and,Kelly is eager to organize the toolkit or frost a batch of cookies.,N
Bailey has no objection to frost the cupcakes and no objection to water the new sapling.,AND,want,W35,want_mind_and,Bailey expects to frost the cupcakes or water the new sapling.,N
Marley does not mind decorate a blank notebook cover.,A,want,W36,want_mind_single,Marley wants to decorate a blank notebook cover or blend herb dressing.,N
Rowan is fine with rehearse a new song.,B,want,W37,want_mind_single,Rowan would be happy to deliver the notes to Alex or rehearse a new song.,N
Casey would be okay with visit the science museum.,A,want,W38,want_mind_single,Casey is eager to visit the science museum or schedule a checkup appointment.,N
Remy has no objection to install a smart bulb.,B,want,W39,want_mind_single,Remy expects to slice a baguette or install a smart bulb.,N
"Charlie does not mind explore the old library, and does not mind grill pineapple rings.",AND,want,W40,atleast_and,Charlie wants to explore the old library or at least grill pineapple rings.,N
Dakota is fine with label the storage boxes and with slice the zucchini.,AND,want,W41,atleast_and,Dakota would like to label the storage boxes or at least slice the zucchini.,N
Emery would be okay with photograph the sculpture garden and with charge the camera batteries.,AND,want,W42,atleast_and,Emery hopes to photograph the sculpture garden or at least charge the camera batteries.,N
Finley has no objection to brew fresh coffee and no objection to print the recipe cards.,AND,want,W43,atleast_and,Finley expects to brew fresh coffee or at least print the recipe cards.,N
Harper wants to organize the photo albums.,A,want,W44,atleast_single,Harper wants to organize the photo albums or at least arrange the flowers.,N
Avery would like to prepare the slides.,B,want,W45,atleast_single,Avery would like to repair the bike chain or at least prepare the slides.,N
Corey wants to bake blueberry muffins.,A,want,W46,atleast_single,Corey hopes to bake blueberry muffins or at least explore downtown side streets.,N
Sawyer expects to pack a picnic basket.,B,want,W47,atleast_single,Sawyer expects to assemble the bookshelf or at least pack a picnic basket.,N
