correct,item,domain,pair_type,conclusion_form,scenario,template_id,premise,conclusion,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,SESSION,PARTICIPANT,STIMULUS_VALID,STIMULUS_DOMAIN,STIMULUS_PAIR_TYPE
?,M15,modal,must_single,B,,,Reese is required to patch the wall crack or tighten the cabinet screws.,Reese is free to tighten the cabinet screws.,12131,Premise: Reese is required to patch the wall crack or tighten the cabinet screws. / Conclusion: Reese is free to tighten the cabinet screws.,N,html-keyboard-response,39,2.1.0,247935,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_single
?,M14,modal,must_single,A,,,Dylan is expected to print the handouts or review the survey data.,Dylan is allowed to  print the handouts.,10603,Premise: Dylan is expected to print the handouts or review the survey data. / Conclusion: Dylan is allowed to  print the handouts.,N,html-keyboard-response,41,2.1.0,259543,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_single
?,M09,modal,must_and,AND,,,Blair is supposed to frame the illustration or varnish the surface.,Blair is allowed to frame the illustration and is allowed to varnish the surface.,13526,Premise: Blair is supposed to frame the illustration or varnish the surface. / Conclusion: Blair is allowed to frame the illustration and is allowed to varnish the surface.,N,html-keyboard-response,43,2.1.0,274072,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_and
?,W40,want,atleast_single_a,A,,,Charlie wants to trim the hedges or at least stake the tomato vines.,Charlie wants to trim the hedges.,9378,Premise: Charlie wants to trim the hedges or at least stake the tomato vines. / Conclusion: Charlie wants to trim the hedges.,B,html-keyboard-response,45,2.1.0,284463,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_a
N,C06,control,conjunction,,,,Sophie cleaned the guest room and changed all the bed linens.,Sophie attended a music festival.,6148,Premise: Sophie cleaned the guest room and changed all the bed linens. / Conclusion: Sophie attended a music festival.,N,html-keyboard-response,47,2.1.0,291620,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
?,W39,want,want_mind_single,B,,,Remy wants to jog the trail loop or map the running route.,Remy has no objection to mapping the running route.,7477,Premise: Remy wants to jog the trail loop or map the running route. / Conclusion: Remy has no objection to mapping the running route.,N,html-keyboard-response,49,2.1.0,300106,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_single
N,C47,control,presupposition,,,,"Thomas broke his leg, again.",Thomas broke his arm in the past.,5100,"Premise: Thomas broke his leg, again. / Conclusion: Thomas broke his arm in the past.",N,html-keyboard-response,51,2.1.0,306210,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,presupposition
N,C34,control,quantifier,,,,Everyone read at least one book.,There is a book that has been read by everyone.,8906,Premise: Everyone read at least one book. / Conclusion: There is a book that has been read by everyone.,N,html-keyboard-response,53,2.1.0,316118,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,quantifier
?,M02,modal,allowed_and,AND,,,Kennedy is free to harvest the cucumbers or compost the clippings.,Kennedy is free to harvest the cucumbers and is free to compost the clippings.,10678,Premise: Kennedy is free to harvest the cucumbers or compost the clippings. / Conclusion: Kennedy is free to harvest the cucumbers and is free to compost the clippings.,N,html-keyboard-response,55,2.1.0,327808,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,allowed_and
Y,C16,control,conditional,,,,"Since Carla didn’t charge her phone, it died halfway through the call.",Carla failed to charge her phone.,6433,"Premise: Since Carla didn’t charge her phone, it died halfway through the call. / Conclusion: Carla failed to charge her phone.",B,html-keyboard-response,57,2.1.0,335246,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conditional
N,C10,control,conjunction,,,,Liam repaired the old radio and tested its signal range.,Liam travelled to the mountains.,5602,Premise: Liam repaired the old radio and tested its signal range. / Conclusion: Liam travelled to the mountains.,N,html-keyboard-response,59,2.1.0,341857,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
N,C32,control,quantifier,,,,All toads have poison glands.,"If you find a true toad in your garden, it may not have poison glands.",8019,"Premise: All toads have poison glands. / Conclusion: If you find a true toad in your garden, it may not have poison glands.",N,html-keyboard-response,61,2.1.0,350886,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,quantifier
?,W44,want,atleast_single_b,B,,,Harper wants to prepare the snack table or at least arrange the seating.,Harper wants to arrange the seating.,8527,Premise: Harper wants to prepare the snack table or at least arrange the seating. / Conclusion: Harper wants to arrange the seating.,N,html-keyboard-response,63,2.1.0,360426,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_b
N,M19,modal,all_and,AND,,,All of them mounted the canvas or sanded the wooden edges.,"Some of them  mounted the canvas, and some of them sanded the wooden edges.",8980,"Premise: All of them mounted the canvas or sanded the wooden edges. / Conclusion: Some of them  mounted the canvas, and some of them sanded the wooden edges.",N,html-keyboard-response,65,2.1.0,370413,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_and
?,M08,modal,must_and,AND,,,Eden should clean the air filter or replace the lightbulb.,"Eden may clean the air filter, and may replace the lightbulb.",10080,"Premise: Eden should clean the air filter or replace the lightbulb. / Conclusion: Eden may clean the air filter, and may replace the lightbulb.",N,html-keyboard-response,67,2.1.0,381544,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_and
N,C46,control,presupposition,,,,Albert knows that geraniums prefer full sun.,Albert likes geraniums.,5486,Premise: Albert knows that geraniums prefer full sun. / Conclusion: Albert likes geraniums.,N,html-keyboard-response,69,2.1.0,388037,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,presupposition
?,W42,want,atleast_single_a,A,,,Emery wants to charge the power bank or at least set an early alarm.,Emery wants to charge the power bank.,8833,Premise: Emery wants to charge the power bank or at least set an early alarm. / Conclusion: Emery wants to charge the power bank.,N,html-keyboard-response,71,2.1.0,397870,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_a
?,W27,want,want_and,AND,,,Ari wants to outline the report or email the instructor questions.,Ari wants to outline the report and wants to email the instructor questions.,16180,Premise: Ari wants to outline the report or email the instructor questions. / Conclusion: Ari wants to outline the report and wants to email the instructor questions.,N,html-keyboard-response,73,2.1.0,415054,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_and
N,M20,modal,all_single,A,,,Everyone edited the raw photos or charged the camera batteries.,Some people edited the raw photos.,10786,Premise: Everyone edited the raw photos or charged the camera batteries. / Conclusion: Some people edited the raw photos.,B,html-keyboard-response,75,2.1.0,426847,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_single
?,W46,want,atleast_single_b,B,,,Corey wants to record a demo or at least tune the guitar.,Corey wants to tune the guitar.,7680,Premise: Corey wants to record a demo or at least tune the guitar. / Conclusion: Corey wants to tune the guitar.,B,html-keyboard-response,77,2.1.0,435537,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_b
Y,C28,control,quantifier,,,,There exists a book that has been read by everyone.,Everyone read at least one book.,10543,Premise: There exists a book that has been read by everyone. / Conclusion: Everyone read at least one book.,B,html-keyboard-response,79,2.1.0,447091,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,quantifier
N,C20,control,conditional,,,,"If the software updates successfully, the interface will change.",The layout will look different.,13501,"Premise: If the software updates successfully, the interface will change. / Conclusion: The layout will look different.",N,html-keyboard-response,81,2.1.0,461606,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conditional
?,W26,want,want_and,AND,,,Shiloh wants to confirm the hotel reservation or download the maps.,Shiloh wants to confirm the hotel reservation and wants to download the maps.,7673,Premise: Shiloh wants to confirm the hotel reservation or download the maps. / Conclusion: Shiloh wants to confirm the hotel reservation and wants to download the maps.,N,html-keyboard-response,83,2.1.0,470283,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_and
N,C33,control,quantifier,,,,Every table is a piece of furniture.,"If you have only a table in your room, you don’t have any furniture.",7617,"Premise: Every table is a piece of furniture. / Conclusion: If you have only a table in your room, you don’t have any furniture.",N,html-keyboard-response,85,2.1.0,478903,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,quantifier
?,W38,want,want_mind_single,A,,,Casey wants to rehearse the presentation or edit the slide deck.,Casey would be okay with rehearsing the presentation.,11519,Premise: Casey wants to rehearse the presentation or edit the slide deck. / Conclusion: Casey would be okay with rehearsing the presentation.,B,html-keyboard-response,87,2.1.0,491425,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_single
Y,C25,control,quantifier,,,,Some cars have all-wheel drive.,Some all-wheel-drive vehicles are cars.,9566,Premise: Some cars have all-wheel drive. / Conclusion: Some all-wheel-drive vehicles are cars.,B,html-keyboard-response,89,2.1.0,501999,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,quantifier
Y,C26,control,quantifier,,,,All toads have poison glands.,"If you find a true toad in your garden, it will have poison glands.",4740,"Premise: All toads have poison glands. / Conclusion: If you find a true toad in your garden, it will have poison glands.",B,html-keyboard-response,91,2.1.0,507743,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,quantifier
N,C09,control,conjunction,,,,The train passed through the village and slowed near the small station.,The train ended its route in the village.,10977,Premise: The train passed through the village and slowed near the small station. / Conclusion: The train ended its route in the village.,N,html-keyboard-response,93,2.1.0,519727,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
?,W25,want,want_and,AND,,,Kai wants to mix the audio tracks or practice the chorus.,Kai wants to mix the audio tracks and wants to practice the chorus.,10746,Premise: Kai wants to mix the audio tracks or practice the chorus. / Conclusion: Kai wants to mix the audio tracks and wants to practice the chorus.,N,html-keyboard-response,95,2.1.0,531482,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_and
N,C31,control,quantifier,,,,Some cars have all-wheel drive.,Some cars have dual exhaust.,4739,Premise: Some cars have all-wheel drive. / Conclusion: Some cars have dual exhaust.,N,html-keyboard-response,97,2.1.0,537230,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,quantifier
?,W36,want,want_mind_single,A,,,Marley wants to refill the water bottles or set up the yoga mats.,Marley does not mind refilling the water bottles.,8507,Premise: Marley wants to refill the water bottles or set up the yoga mats. / Conclusion: Marley does not mind refilling the water bottles.,B,html-keyboard-response,99,2.1.0,546748,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_single
N,C23,control,conditional,,,,"If the door sensor malfunctions, the lights will stay on overnight.",The lights will turn off early in the evening.,7646,"Premise: If the door sensor malfunctions, the lights will stay on overnight. / Conclusion: The lights will turn off early in the evening.",N,html-keyboard-response,101,2.1.0,555404,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conditional
?,W43,want,atleast_single_a,A,,,Finley wants to clean the watering cans or at least pull the weeds.,Finley wants to clean the watering cans.,10042,Premise: Finley wants to clean the watering cans or at least pull the weeds. / Conclusion: Finley wants to clean the watering cans.,B,html-keyboard-response,103,2.1.0,566460,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_a
N,M18,modal,all_and,AND,,,Each person sketched the layout or photographed the finished piece.,"At least one person sketched the layout, and at least one  photographed the finished piece.",12227,"Premise: Each person sketched the layout or photographed the finished piece. / Conclusion: At least one person sketched the layout, and at least one  photographed the finished piece.",B,html-keyboard-response,105,2.1.0,579691,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_and
?,W41,want,atleast_single_a,A,,,Dakota wants to cue the playlist or at least label the name tags.,Dakota wants to cue the playlist.,12464,Premise: Dakota wants to cue the playlist or at least label the name tags. / Conclusion: Dakota wants to cue the playlist.,B,html-keyboard-response,107,2.1.0,593167,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,atleast_single_a
?,W37,want,want_mind_single,B,,,Rowan wants to format the bibliography or read the article summary.,Rowan is fine with reading the article summary.,13240,Premise: Rowan wants to format the bibliography or read the article summary. / Conclusion: Rowan is fine with reading the article summary.,B,html-keyboard-response,109,2.1.0,607410,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_single
Y,C00,control,conjunction,,,,Emma walked to the lake and fed the ducks.,Emma gave food to the ducks.,6008,Premise: Emma walked to the lake and fed the ducks. / Conclusion: Emma gave food to the ducks.,B,html-keyboard-response,111,2.1.0,614427,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conjunction
?,W31,want,want_single,B,,,Taylor wants to pack the leftovers or simmer the sauce.,Taylor wants to simmer the sauce.,9900,Premise: Taylor wants to pack the leftovers or simmer the sauce. / Conclusion: Taylor wants to simmer the sauce.,N,html-keyboard-response,113,2.1.0,625331,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_single
N,C43,control,presupposition,,,,Sue visited her brother.,Sue has no siblings.,4921,Premise: Sue visited her brother. / Conclusion: Sue has no siblings.,N,html-keyboard-response,115,2.1.0,631266,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,presupposition
?,M10,modal,must_and,AND,,,Riley is expected to boil the pasta or chop the vegetables.,Riley is free to boil the pasta and is free to chop the vegetables.,12691,Premise: Riley is expected to boil the pasta or chop the vegetables. / Conclusion: Riley is free to boil the pasta and is free to chop the vegetables.,N,html-keyboard-response,117,2.1.0,644970,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_and
N,C11,control,conjunction,,,,Olivia watered the houseplants and trimmed the yellow leaves.,Olivia met her colleagues for a late meeting.,8164,Premise: Olivia watered the houseplants and trimmed the yellow leaves. / Conclusion: Olivia met her colleagues for a late meeting.,N,html-keyboard-response,119,2.1.0,654139,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
Y,C03,control,conjunction,,,,The cyclist crossed the old bridge and took a break by the river.,The cyclist rested near the water.,8463,Premise: The cyclist crossed the old bridge and took a break by the river. / Conclusion: The cyclist rested near the water.,B,html-keyboard-response,121,2.1.0,663613,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conjunction
?,M13,modal,must_single,B,,,Logan is supposed to clean the exercise gear or time the sprint intervals.,Logan is allowed to time the sprint intervals.,17878,Premise: Logan is supposed to clean the exercise gear or time the sprint intervals. / Conclusion: Logan is allowed to time the sprint intervals.,N,html-keyboard-response,124,2.1.0,701186,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_single
N,C42,control,presupposition,,,,Anne quit smoking last year.,Anne never smoked in the past.,5376,Premise: Anne quit smoking last year. / Conclusion: Anne never smoked in the past.,N,html-keyboard-response,126,2.1.0,707565,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,presupposition
Y,C37,control,presupposition,,,,Mary visited her brother.,Mary has siblings.,3403,Premise: Mary visited her brother. / Conclusion: Mary has siblings.,B,html-keyboard-response,128,2.1.0,712035,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,presupposition
?,M12,modal,must_single,A,,,Tegan should sew the fabric border or glue the pieces.,Tegan may sew the fabric border.,10913,Premise: Tegan should sew the fabric border or glue the pieces. / Conclusion: Tegan may sew the fabric border.,N,html-keyboard-response,130,2.1.0,723964,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,must_single
N,M17,modal,all_and,AND,,,Every participant tested the smoke detector or organized the tool box.,"At least one participant tested the smoke detector, and at least one participant organized the tool box.",9665,"Premise: Every participant tested the smoke detector or organized the tool box. / Conclusion: At least one participant tested the smoke detector, and at least one participant organized the tool box.",B,html-keyboard-response,132,2.1.0,734642,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_and
N,C19,control,conditional,,,,"If Adam visits the new exhibition, he will take some photos.",Adam will go to see the new display.,10580,"Premise: If Adam visits the new exhibition, he will take some photos. / Conclusion: Adam will go to see the new display.",N,html-keyboard-response,134,2.1.0,746260,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conditional
N,C44,control,presupposition,,,,Andrew talked to his daughter.,Andrew has two daughters.,4880,Premise: Andrew talked to his daughter. / Conclusion: Andrew has two daughters.,N,html-keyboard-response,136,2.1.0,752151,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,presupposition
?,W30,want,want_single,A,,,Frankie wants to marinate the tofu or set the table.,Frankie wants to marinate the tofu.,7292,Premise: Frankie wants to marinate the tofu or set the table. / Conclusion: Frankie wants to marinate the tofu.,N,html-keyboard-response,138,2.1.0,760446,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_single
N,M16,modal,all_and,AND,,,Everyone learned the bridge section or warmed up the scales.,"Some people learned the bridge section, and some people warmed up the scales.",15468,"Premise: Everyone learned the bridge section or warmed up the scales. / Conclusion: Some people learned the bridge section, and some people warmed up the scales.",B,html-keyboard-response,140,2.1.0,776927,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_and
?,M03,modal,allowed_and,AND,,,Drew is cleared to repair the loose hinge or sweep the front porch.,Drew is cleared to repair the loose hinge and cleared to sweep the front porch.,20665,Premise: Drew is cleared to repair the loose hinge or sweep the front porch. / Conclusion: Drew is cleared to repair the loose hinge and cleared to sweep the front porch.,B,html-keyboard-response,142,2.1.0,798608,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,allowed_and
Y,C41,control,presupposition,,,,"Maggie spent holidays in Paris, again.",Maggie had already visited Paris before.,5329,"Premise: Maggie spent holidays in Paris, again. / Conclusion: Maggie had already visited Paris before.",B,html-keyboard-response,144,2.1.0,804945,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,presupposition
Y,C12,control,conditional,,,,"Since the engine overheated, the car stopped on the roadside.",The engine became too hot.,6451,"Premise: Since the engine overheated, the car stopped on the roadside. / Conclusion: The engine became too hot.",B,html-keyboard-response,146,2.1.0,812397,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conditional
Y,C38,control,presupposition,,,,Emma talked to her son.,Emma has children.,10248,Premise: Emma talked to her son. / Conclusion: Emma has children.,N,html-keyboard-response,148,2.1.0,823662,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,presupposition
Y,C15,control,conditional,,,,"Since Daniel overslept, he arrived at the meeting much later than planned.",Daniel got up later than he intended.,7281,"Premise: Since Daniel overslept, he arrived at the meeting much later than planned. / Conclusion: Daniel got up later than he intended.",B,html-keyboard-response,150,2.1.0,831956,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conditional
?,W35,want,want_mind_and,AND,,,Bailey wants to plant the herb seeds or mulch the garden bed.,Bailey has no objection to planting the herb seeds and has no objection to mulching the garden bed.,17512,Premise: Bailey wants to plant the herb seeds or mulch the garden bed. / Conclusion: Bailey has no objection to planting the herb seeds and has no objection to mulching the garden bed.,N,html-keyboard-response,152,2.1.0,850483,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_and
N,C08,control,conjunction,,,,The delivery truck stopped at the warehouse and unloaded several crates.,The delivery truck stopped at the supermarket.,6837,Premise: The delivery truck stopped at the warehouse and unloaded several crates. / Conclusion: The delivery truck stopped at the supermarket.,N,html-keyboard-response,154,2.1.0,858330,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
N,C21,control,conditional,,,,"If the package arrives tomorrow, the office will process it immediately.",The parcel will be handled in a week time.,7915,"Premise: If the package arrives tomorrow, the office will process it immediately. / Conclusion: The parcel will be handled in a week time.",N,html-keyboard-response,156,2.1.0,867257,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conditional
N,C07,control,conjunction,,,,Daniel organized the bookshelf and donated a stack of novels.,Daniel had lunch at a sushi bar.,6339,Premise: Daniel organized the bookshelf and donated a stack of novels. / Conclusion: Daniel had lunch at a sushi bar.,N,html-keyboard-response,158,2.1.0,874603,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conjunction
N,C35,control,quantifier,,,,Everybody has an idol.,There is a person who is an idol for everyone.,6129,Premise: Everybody has an idol. / Conclusion: There is a person who is an idol for everyone.,N,html-keyboard-response,160,2.1.0,881743,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,quantifier
Y,C04,control,conjunction,,,,The student opened the window and aired out the room.,The student let fresh air inside.,5878,Premise: The student opened the window and aired out the room. / Conclusion: The student let fresh air inside.,B,html-keyboard-response,162,2.1.0,888632,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conjunction
N,M23,modal,all_single,B,,,All of them scouted the shooting location or packed the lens kit.,Some of them packed the lens kit.,10746,Premise: All of them scouted the shooting location or packed the lens kit. / Conclusion: Some of them packed the lens kit.,B,html-keyboard-response,164,2.1.0,900389,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,modal,all_single
?,W34,want,want_mind_and,AND,,,Kelly wants to stretch the hamstrings or pack the first-aid kit.,Kelly would be okay with stretching the hamstrings and would be okay with packing the first-aid kit.,9878,Premise: Kelly wants to stretch the hamstrings or pack the first-aid kit. / Conclusion: Kelly would be okay with stretching the hamstrings and would be okay with packing the first-aid kit.,N,html-keyboard-response,166,2.1.0,911276,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_and
Y,C17,control,conditional,,,,"Since the electricity went out, the laboratory instruments shut down.",The building lost electrical power.,14284,"Premise: Since the electricity went out, the laboratory instruments shut down. / Conclusion: The building lost electrical power.",B,html-keyboard-response,168,2.1.0,926573,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,conditional
N,C18,control,conditional,,,,"If the printer jams this morning, the reports will be delayed.",The device will power off on its own.,8759,"Premise: If the printer jams this morning, the reports will be delayed. / Conclusion: The device will power off on its own.",N,html-keyboard-response,170,2.1.0,936340,EXPERIMENTAL,661ec48c618b7a27e5a9077a,N,control,conditional
?,W32,want,want_mind_and,AND,,,Elliot wants to check the bike tires or cool down after practice.,"Elliot does not mind checking the bike tires, and does not mind cooling down after practice.",8332,"Premise: Elliot wants to check the bike tires or cool down after practice. / Conclusion: Elliot does not mind checking the bike tires, and does not mind cooling down after practice.",N,html-keyboard-response,172,2.1.0,945676,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_mind_and
?,W28,want,want_single,A,,,Alex wants to set up the tripod or test the shutter remote.,Alex wants to set up the tripod.,7543,Premise: Alex wants to set up the tripod or test the shutter remote. / Conclusion: Alex wants to set up the tripod.,N,html-keyboard-response,174,2.1.0,954228,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,want,want_single
Y,C29,control,quantifier,,,,There is a person who is an idol for everyone.,Everybody has an idol.,4614,Premise: There is a person who is an idol for everyone. / Conclusion: Everybody has an idol.,N,html-keyboard-response,176,2.1.0,959859,EXPERIMENTAL,661ec48c618b7a27e5a9077a,Y,control,quantifier
?,M07,modal,allowed_single,B,,,Sage is cleared to paint the background or cut the stencil.,Sage is cleared to cut the stencil.,11379,Premise: Sage is cleared to paint the background or cut the stencil. / Conclusion: Sage is cleared to cut the stencil.,N,html-keyboard-response,178,2.1.0,972254,EXPERIMENTAL,661ec48c618b7a27e5a9077a,?,modal,allowed_single
