CONDITION,CORRECT,DOMAIN,ITEM,ITEM1,ITEM1_STATUS,ITEM1_TYPE,ITEM2,ITEM2_STATUS,ITEM2_TYPE,LOGICAL_TRUTH,MODAL_LEX,PERM_PAIR,SEGMENTS,SENTENCE,STRUCTURE,SUBCONDITION,TRIBE,VERB
SINGLE_CONTROL_MIND,Y,mind,M254,ribs,,accepts,,,,Y,,,"[{'text': 'Matthew-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'ribs'}]",Matthew-the-Nomad does not mind eating ribs,single,,Nomad,does not mind
EXPERIMENTAL,Y,modal,E123,a lollipop,allowed,Sweet,an apple,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Dorothy-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a lollipop or an apple'}]",Dorothy-the-Urbanite may eat a lollipop or an apple,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E100,a chocolate,,wants,a strawberry,,dislikes,NA,,,"[{'text': 'Mary-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a chocolate or a strawberry'}]",Mary-the-Urbanite wants to eat a chocolate or a strawberry,disjunction,wants|dislikes,Urbanite,want
EXPERIMENTAL,Y/N,want,E117,a mango,,wants,ribs,,accepts,NA,,,"[{'text': 'Paul-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a mango or ribs'}]",Paul-the-Nomad wants to eat a mango or ribs,disjunction,wants|accepts,Nomad,want
EXPERIMENTAL,Y/N,want,E111,a grapefruit,,wants,a burger,,accepts,NA,,,"[{'text': 'Jessica-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a grapefruit or a burger'}]",Jessica-the-Nomad wants to eat a grapefruit or a burger,disjunction,wants|accepts,Nomad,want
EXPERIMENTAL,Y/N,want,E116,an orange,,wants,a muffin,,dislikes,NA,,,"[{'text': 'Donald-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange or a muffin'}]",Donald-the-Nomad wants to eat an orange or a muffin,disjunction,wants|dislikes,Nomad,want
SINGLE_CONTROL,Y,want,S9,a brownie,,wants,,,,Y,,,"[{'text': 'Margaret-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie'}]",Margaret-the-Urbanite wants to eat a brownie,single,,Urbanite,want
SINGLE_CONTROL_MIND,N,mind,M225,a cranberry,,dislikes,,,,N,,,"[{'text': 'Steven-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a cranberry'}]",Steven-the-Urbanite does not mind eating a cranberry,single,,Urbanite,does not mind
SINGLE_CONTROL,N,modal,S90,a chocolate,forbidden,Sweet,,,,N,may,,"[{'text': 'Patricia-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a chocolate'}]",Patricia-the-Nomad may eat a chocolate,single,,Nomad,may
SINGLE_CONTROL,Y,modal,S81,a grapefruit,allowed,Fruit,,,,Y,may,,"[{'text': 'Michael-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a grapefruit'}]",Michael-the-Nomad may eat a grapefruit,single,,Nomad,may
DOUBLE_CONTROL_MIND,N,mind,N261,a strawberry,,dislikes,a peach,,dislikes,N,,,"[{'text': 'Lisa-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a strawberry or a peach'}]",Lisa-the-Urbanite does not mind eating a strawberry or a peach,double,dislikes|dislikes,Urbanite,does not mind
DOUBLE_CONTROL,N,want,D171,a cake,,dislikes,a cupcake,,dislikes,N,,,"[{'text': 'Sarah-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake or a cupcake'}]",Sarah-the-Nomad wants to eat a cake or a cupcake,double,dislikes|dislikes,Nomad,want
DOUBLE_CONTROL,Y,modal,D202,a burger,allowed,Meat,a steak,allowed,Meat,Y,may,,"[{'text': 'Christopher-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a burger or a steak'}]",Christopher-the-Nomad may eat a burger or a steak,double,allowed|allowed,Nomad,may
DOUBLE_CONTROL_MIND,Y,mind,N272,a hotdog,,accepts,a meatloaf,,accepts,Y,,,"[{'text': 'David-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a hotdog or a meatloaf'}]",David-the-Urbanite does not mind eating a hotdog or a meatloaf,double,accepts|accepts,Urbanite,does not mind
EXPERIMENTAL,Y,modal,E120,a chocolate,allowed,Sweet,a strawberry,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Charles-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a chocolate or a strawberry'}]",Charles-the-Urbanite may eat a chocolate or a strawberry,disjunction,,Urbanite,may
DOUBLE_CONTROL,N,modal,D217,a donut,forbidden,Sweet,caramel,forbidden,Sweet,N,may,,"[{'text': 'Susan-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a donut or caramel'}]",Susan-the-Nomad may eat a donut or caramel,double,forbidden|forbidden,Nomad,may
EXPERIMENTAL,Y,modal,E135,a cherry,allowed,Fruit,a cake,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Sandra-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cherry or a cake'}]",Sandra-the-Nomad may eat a cherry or a cake,disjunction,,Nomad,may
SINGLE_CONTROL,N,modal,S96,a muffin,forbidden,Sweet,,,,N,may,,"[{'text': 'Ashley-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a muffin'}]",Ashley-the-Nomad may eat a muffin,single,,Nomad,may
SINGLE_CONTROL,N,modal,S91,a cookie,forbidden,Sweet,,,,N,may,,"[{'text': 'Sarah-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cookie'}]",Sarah-the-Nomad may eat a cookie,single,,Nomad,may
DOUBLE_CONTROL,Y,modal,D194,ribs,allowed,Meat,a muffin,allowed,Sweet,Y,may,,"[{'text': 'Thomas-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'ribs or a muffin'}]",Thomas-the-Urbanite may eat ribs or a muffin,double,allowed|allowed,Urbanite,may
EXPERIMENTAL,Y,modal,E124,a cupcake,allowed,Sweet,a pear,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Barbara-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake or a pear'}]",Barbara-the-Urbanite may eat a cupcake or a pear,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E109,a brownie,,wants,beef,,accepts,NA,,,"[{'text': 'James-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie or beef'}]",James-the-Urbanite wants to eat a brownie or beef,disjunction,wants|accepts,Urbanite,want
SINGLE_CONTROL,Y,modal,S84,a sausage,allowed,Meat,,,,Y,may,,"[{'text': 'Barbara-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a sausage'}]",Barbara-the-Nomad may eat a sausage,single,,Nomad,may
EXPERIMENTAL,Y,modal,E128,a donut,allowed,Sweet,a plum,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'William-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a donut or a plum'}]",William-the-Urbanite may eat a donut or a plum,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E108,a donut,,wants,a plum,,dislikes,NA,,,"[{'text': 'Robert-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a donut or a plum'}]",Robert-the-Urbanite wants to eat a donut or a plum,disjunction,wants|dislikes,Urbanite,want
SINGLE_CONTROL,Y,want,S31,a grapefruit,,wants,,,,Y,,,"[{'text': 'Jessica-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a grapefruit'}]",Jessica-the-Nomad wants to eat a grapefruit,single,,Nomad,want
SINGLE_CONTROL,Y,modal,S64,a sausage,allowed,Meat,,,,Y,may,,"[{'text': 'Joshua-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a sausage'}]",Joshua-the-Urbanite may eat a sausage,single,,Urbanite,may
SINGLE_CONTROL,N,modal,S79,a peach,forbidden,Fruit,,,,N,may,,"[{'text': 'Joseph-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a peach'}]",Joseph-the-Urbanite may eat a peach,single,,Urbanite,may
EXPERIMENTAL,Y,modal,E129,a brownie,allowed,Sweet,a peach,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Margaret-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie or a peach'}]",Margaret-the-Urbanite may eat a brownie or a peach,disjunction,,Urbanite,may
SINGLE_CONTROL,Y,want,S5,a cake,,wants,,,,Y,,,"[{'text': 'Elizabeth-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cake'}]",Elizabeth-the-Urbanite wants to eat a cake,single,,Urbanite,want
SINGLE_CONTROL,N,want,S47,caramel,,dislikes,,,,N,,,"[{'text': 'Daniel-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel'}]",Daniel-the-Nomad wants to eat caramel,single,,Nomad,want
DOUBLE_CONTROL_MIND,Y,mind,N270,a meatloaf,,accepts,a sausage,,accepts,Y,,,"[{'text': 'Emily-the-Urbanite', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a meatloaf or a sausage'}]",Emily-the-Urbanite does not mind eating a meatloaf or a sausage,double,accepts|accepts,Urbanite,does not mind
SINGLE_CONTROL,N,want,S52,a kebab,,accepts,,,,N,,,"[{'text': 'Linda-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a kebab'}]",Linda-the-Nomad wants to eat a kebab,single,,Nomad,want
SINGLE_CONTROL,N,want,S44,a cupcake,,dislikes,,,,N,,,"[{'text': 'Barbara-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake'}]",Barbara-the-Nomad wants to eat a cupcake,single,,Nomad,want
DOUBLE_CONTROL,N,want,D175,caramel,,dislikes,a muffin,,dislikes,N,,,"[{'text': 'Sandra-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or a muffin'}]",Sandra-the-Nomad wants to eat caramel or a muffin,double,dislikes|dislikes,Nomad,want
DOUBLE_CONTROL,N,modal,D215,caramel,forbidden,Sweet,a muffin,forbidden,Sweet,N,may,,"[{'text': 'Sandra-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or a muffin'}]",Sandra-the-Nomad may eat caramel or a muffin,double,forbidden|forbidden,Nomad,may
DOUBLE_CONTROL,N,modal,D209,a cupcake,forbidden,Sweet,a lollipop,forbidden,Sweet,N,may,,"[{'text': 'Margaret-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cupcake or a lollipop'}]",Margaret-the-Nomad may eat a cupcake or a lollipop,double,forbidden|forbidden,Nomad,may
DOUBLE_CONTROL,N,want,D141,a strawberry,,dislikes,a peach,,dislikes,N,,,"[{'text': 'Lisa-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry or a peach'}]",Lisa-the-Urbanite wants to eat a strawberry or a peach,double,dislikes|dislikes,Urbanite,want
EXPERIMENTAL,Y/N,want,E119,a peach,,wants,beef,,accepts,NA,,,"[{'text': 'Joseph-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a peach or beef'}]",Joseph-the-Nomad wants to eat a peach or beef,disjunction,wants|accepts,Nomad,want
DOUBLE_CONTROL,Y,want,D142,a cookie,,wants,a chocolate,,wants,Y,,,"[{'text': 'Kimberly-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cookie or a chocolate'}]",Kimberly-the-Urbanite wants to eat a cookie or a chocolate,double,wants|wants,Urbanite,want
SINGLE_CONTROL,Y,modal,S68,a donut,allowed,Sweet,,,,Y,may,,"[{'text': 'Robert-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a donut'}]",Robert-the-Urbanite may eat a donut,single,,Urbanite,may
DOUBLE_CONTROL,Y,modal,D216,a plum,allowed,Fruit,a mango,allowed,Fruit,Y,may,,"[{'text': 'Ashley-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a plum or a mango'}]",Ashley-the-Nomad may eat a plum or a mango,double,allowed|allowed,Nomad,may
EXPERIMENTAL,Y/N,want,E110,a strawberry,,wants,a chocolate,,dislikes,NA,,,"[{'text': 'Emily-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry or a chocolate'}]",Emily-the-Nomad wants to eat a strawberry or a chocolate,disjunction,wants|dislikes,Nomad,want
DOUBLE_CONTROL,N,want,D167,a lollipop,,dislikes,a biscuit,,dislikes,N,,,"[{'text': 'Daniel-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a lollipop or a biscuit'}]",Daniel-the-Nomad wants to eat a lollipop or a biscuit,double,dislikes|dislikes,Nomad,want
SINGLE_CONTROL,Y,want,S30,a strawberry,,wants,,,,Y,,,"[{'text': 'Emily-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry'}]",Emily-the-Nomad wants to eat a strawberry,single,,Nomad,want
SINGLE_CONTROL,N,modal,S99,a brownie,forbidden,Sweet,,,,N,may,,"[{'text': 'Jennifer-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie'}]",Jennifer-the-Nomad may eat a brownie,single,,Nomad,may
EXPERIMENTAL,Y,modal,E127,caramel,allowed,Sweet,a mango,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Daniel-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or a mango'}]",Daniel-the-Urbanite may eat caramel or a mango,disjunction,,Urbanite,may
DOUBLE_CONTROL,N,modal,D187,an apple,forbidden,Fruit,a cranberry,forbidden,Fruit,N,may,,"[{'text': 'Betty-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a cranberry'}]",Betty-the-Urbanite may eat an apple or a cranberry,double,forbidden|forbidden,Urbanite,may
DOUBLE_CONTROL,Y,want,D154,caramel,,wants,a muffin,,wants,Y,,,"[{'text': 'Thomas-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'caramel or a muffin'}]",Thomas-the-Urbanite wants to eat caramel or a muffin,double,wants|wants,Urbanite,want
EXPERIMENTAL,Y,modal,E136,an orange,allowed,Fruit,a muffin,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Ashley-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an orange or a muffin'}]",Ashley-the-Nomad may eat an orange or a muffin,disjunction,,Nomad,may
DOUBLE_CONTROL,Y,want,D166,an apple,,wants,a cranberry,,wants,Y,,,"[{'text': 'Nancy-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple or a cranberry'}]",Nancy-the-Nomad wants to eat an apple or a cranberry,double,wants|wants,Nomad,want
EXPERIMENTAL,Y,modal,E126,a hotdog,allowed,Meat,an orange,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Nancy-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a hotdog or an orange'}]",Nancy-the-Urbanite may eat a hotdog or an orange,disjunction,,Urbanite,may
EXPERIMENTAL,Y/N,want,E103,a lollipop,,wants,a meatball,,accepts,NA,,,"[{'text': 'Karen-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a lollipop or a meatball'}]",Karen-the-Urbanite wants to eat a lollipop or a meatball,disjunction,wants|accepts,Urbanite,want
SINGLE_CONTROL,Y,want,S37,a mango,,wants,,,,Y,,,"[{'text': 'Paul-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a mango'}]",Paul-the-Nomad wants to eat a mango,single,,Nomad,want
DOUBLE_CONTROL,N,want,D151,a cherry,,dislikes,a pear,,dislikes,N,,,"[{'text': 'Jessica-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cherry or a pear'}]",Jessica-the-Urbanite wants to eat a cherry or a pear,double,dislikes|dislikes,Urbanite,want
EXPERIMENTAL,Y,modal,E130,a strawberry,allowed,Fruit,a chocolate,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Patricia-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a strawberry or a chocolate'}]",Patricia-the-Nomad may eat a strawberry or a chocolate,disjunction,,Nomad,may
SINGLE_CONTROL,N,want,S58,pork,,accepts,,,,N,,,"[{'text': 'Anthony-the-Nomad', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'pork'}]",Anthony-the-Nomad wants to eat pork,single,,Nomad,want
DOUBLE_CONTROL,Y,want,D158,a brownie,,wants,a donut,,wants,Y,,,"[{'text': 'John-the-Urbanite', 'duration': 750}, {'text': 'wants to', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a brownie or a donut'}]",John-the-Urbanite wants to eat a brownie or a donut,double,wants|wants,Urbanite,want
EXPERIMENTAL,Y,modal,E134,a pear,allowed,Fruit,a cupcake,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Matthew-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a pear or a cupcake'}]",Matthew-the-Nomad may eat a pear or a cupcake,disjunction,,Nomad,may
DOUBLE_CONTROL,N,modal,D205,a biscuit,forbidden,Sweet,a cookie,forbidden,Sweet,N,may,,"[{'text': 'Elizabeth-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a biscuit or a cookie'}]",Elizabeth-the-Nomad may eat a biscuit or a cookie,double,forbidden|forbidden,Nomad,may
SINGLE_CONTROL,Y,modal,S87,ribs,allowed,Meat,,,,Y,may,,"[{'text': 'Daniel-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'ribs'}]",Daniel-the-Nomad may eat ribs,single,,Nomad,may
SINGLE_CONTROL_MIND,N,mind,M249,a cupcake,,dislikes,,,,N,,,"[{'text': 'Margaret-the-Nomad', 'duration': 750}, {'text': 'does not', 'duration': 500}, {'text': 'mind', 'duration': 250}, {'text': 'eating', 'duration': 250}, {'text': 'a cupcake'}]",Margaret-the-Nomad does not mind eating a cupcake,single,,Nomad,does not mind
EXPERIMENTAL,Y,modal,E121,a cookie,allowed,Sweet,a grapefruit,forbidden,Fruit,Y,may,allowed|forbidden,"[{'text': 'Michael-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a cookie or a grapefruit'}]",Michael-the-Urbanite may eat a cookie or a grapefruit,disjunction,,Urbanite,may
SINGLE_CONTROL,N,modal,S73,an apple,forbidden,Fruit,,,,N,may,,"[{'text': 'Richard-the-Urbanite', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'an apple'}]",Richard-the-Urbanite may eat an apple,single,,Urbanite,may
EXPERIMENTAL,Y,modal,E131,a burger,allowed,Meat,a cookie,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Sarah-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a burger or a cookie'}]",Sarah-the-Nomad may eat a burger or a cookie,disjunction,,Nomad,may
EXPERIMENTAL,Y,modal,E137,a mango,allowed,Fruit,caramel,forbidden,Sweet,Y,may,allowed|forbidden,"[{'text': 'Susan-the-Nomad', 'duration': 750}, {'text': 'may', 'duration': 500}, {'text': 'eat', 'duration': 250}, {'text': 'a mango or caramel'}]",Susan-the-Nomad may eat a mango or caramel,disjunction,,Nomad,may
