correct,verb,item,condition,sentence,structure,subcondition,order,relation,logical_truth,item1,item2,item1_type,item2_type,tribe,feedback_correct,feedback_incorrect,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,SESSION,PARTICIPANT,JATOS_STUDY_RESULT_ID,JATOS_STUDY_RESULT_UUID,JATOS_WORKER_ID,JATOS_START_DATE,JATOS_END_DATE,JATOS_DURATION,JATOS_STUDY_STATE,PROLIFIC_STUDY_ID,PROLIFIC_SESSION_ID,STIMULUS_CORRECT,STIMULUS_LOGICAL_TRUTH,STIMULUS_CONDITION,STIMULUS_SUBCONDITION,STIMULUS_ORDER
Y,prefer,PR22,PREFER_DIFFERENT,Kimberly-the-Nomad prefers to eat a cranberry rather than a burger,preference,wants_vs_accepts,AB,gt,Y,a cranberry,a burger,wants,accepts,Nomad,Your answer is correct. Kimberly-the-Nomad always prefers fruit to meat.,Your answer is incorrect. Kimberly-the-Nomad always prefers fruit to meat.,1865,a cranberry rather than a burger,b,html-keyboard-response,190,2.1.0,320648,PRACTICE,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
N,want,SC9,SINGLE_CONTROL,Margaret-the-Nomad wants to eat a brownie,single,dislikes,single,,N,a brownie,,dislikes,,Nomad,,,1176,a brownie,n,html-keyboard-response,197,2.1.0,336468,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,SINGLE_CONTROL,dislikes,single
Y,prefer,PD72,PREFER_DIFFERENT,David-the-Nomad prefers to eat a cranberry rather than a burger,preference,wants_vs_accepts,AB,gt,Y,a cranberry,a burger,wants,accepts,Nomad,,,1419,a cranberry rather than a burger,b,html-keyboard-response,202,2.1.0,340422,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,PREFER_DIFFERENT,wants_vs_accepts,AB
N,prefer,PS85,PREFER_SAME,Elizabeth-the-Nomad prefers to eat a meatloaf rather than a sausage,preference,accepts_vs_accepts,AB,eq,N,a meatloaf,a sausage,accepts,accepts,Nomad,,,1278,a meatloaf rather than a sausage,n,html-keyboard-response,207,2.1.0,344235,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_SAME,accepts_vs_accepts,AB
N,want,DC25,DOUBLE_CONTROL,Steven-the-Urbanite wants to eat a meatloaf or a sausage,disjunction,accepts|accepts,AB,,N,a meatloaf,a sausage,accepts,accepts,Urbanite,,,2884,a meatloaf or a sausage,b,html-keyboard-response,212,2.1.0,349660,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,accepts|accepts,AB
N,prefer,PD57,PREFER_DIFFERENT,Susan-the-Urbanite prefers to eat an orange rather than ribs,preference,dislikes_vs_accepts,BA,lt,N,an orange,ribs,dislikes,accepts,Urbanite,,,2347,an orange rather than ribs,n,html-keyboard-response,217,2.1.0,354531,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
Y,want,DC34,DOUBLE_CONTROL,Thomas-the-Urbanite wants to eat a lollipop or a cupcake,disjunction,wants|wants,BA,,Y,a lollipop,a cupcake,wants,wants,Urbanite,,,2409,a lollipop or a cupcake,b,html-keyboard-response,222,2.1.0,359491,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y,Y,DOUBLE_CONTROL,wants|wants,BA
N,want,DC42,DOUBLE_CONTROL,Christopher-the-Nomad wants to eat a kebab or a burger,disjunction,accepts|accepts,AB,,N,a kebab,a burger,accepts,accepts,Nomad,,,2204,a kebab or a burger,b,html-keyboard-response,227,2.1.0,364220,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,DOUBLE_CONTROL,accepts|accepts,AB
Y/N,want,EX108,EXPERIMENTAL,Robert-the-Nomad wants to eat a plum or pork,disjunction,wants|accepts,AB,,NA,a plum,pork,wants,accepts,Nomad,,,5972,a plum or pork,b,html-keyboard-response,232,2.1.0,372739,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y/N,NA,EXPERIMENTAL,wants|accepts,AB
Y/N,want,EX101,EXPERIMENTAL,Lisa-the-Urbanite wants to eat a burger or a cookie,disjunction,wants|accepts,BA,,NA,a burger,a cookie,accepts,wants,Urbanite,,,2314,a burger or a cookie,b,html-keyboard-response,237,2.1.0,377580,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,Y/N,NA,EXPERIMENTAL,wants|accepts,BA
N,prefer,PD69,PREFER_DIFFERENT,James-the-Nomad prefers to eat a donut rather than beef,preference,dislikes_vs_accepts,BA,lt,N,a donut,beef,dislikes,accepts,Nomad,,,3198,a donut rather than beef,n,html-keyboard-response,242,2.1.0,383314,EXPERIMENTAL,695fcea7a80091f158646750,2531,b86f8bd6-71b8-4e7e-a46b-bdcbcfae58ee,2404,1768864783500,1768865638561,00:14:15,FINISHED,696e824812786c0f3a8b7680,696ebbfb24c93378939d9785,N,N,PREFER_DIFFERENT,dislikes_vs_accepts,BA
